id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords;Area
2942;FNLU;large_airport;Quatro de Fevereiro Airport;-8,85837;13,2312;243;AF;AO;AO-LUA;Luanda;yes;FNLU;LAD;;;https://en.wikipedia.org/wiki/Quatro_de_Fevereiro_Airport;4 de Fevereiro;
2088;DFFD;large_airport;Ouagadougou Airport;596412;-1,51242;1037;AF;BF;BF-KAD;Ouagadougou;yes;DFFD;OUA;;;https://en.wikipedia.org/wiki/Ouagadougou_Airport;;
2864;FBSK;large_airport;Sir Seretse Khama International Airport;-24,555201;25,9182;3299;AF;BW;BW-SE;Gaborone;yes;FBSK;GBE;;;https://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport;;
3040;FZAA;large_airport;Ndjili International Airport;-4,38575;15,4446;1027;AF;CD;CD-KN;Kinshasa;yes;FZAA;FIH;;;https://en.wikipedia.org/wiki/N%27djili_Airport;;
3183;HECA;large_airport;Cairo International Airport;30,12190055847170;31,40559959411620;382;AF;EG;EG-C;Cairo;yes;HECA;CAI;;;https://en.wikipedia.org/wiki/Cairo_International_Airport;;
3186;HEGN;large_airport;Hurghada International Airport;27,178300857543900;33,799400329589800;52;AF;EG;EG-BA;Hurghada;yes;HEGN;HRG;;;https://en.wikipedia.org/wiki/Hurghada_International_Airport;Al Ghardaqah, ЎІўДЎЇЎ±ЎѓўВЎ©;
3191;HELX;large_airport;Luxor International Airport;25,671;32,7066;294;AF;EG;EG-KN;Luxor;yes;HELX;LXR;;;https://en.wikipedia.org/wiki/Luxor_International_Airport;;
3157;HAAB;large_airport;Addis Ababa Bole International Airport;8,97789001465;38,799301147500000;7630;AF;ET;ET-AA;Addis Ababa;yes;HAAB;ADD;;http://www.ethiopianairports.com;https://en.wikipedia.org/wiki/Bole_International_Airport;Haile Selassie I, Bole International Airport;
2090;DGAA;large_airport;Kotoka International Airport;5,605189800262450;-0,16678600013256100;205;AF;GH;GH-AA;Accra;yes;DGAA;ACC;;;https://en.wikipedia.org/wiki/Kotoka_International_Airport;;
3206;HKJK;large_airport;Jomo Kenyatta International Airport;-1,31923997402;36,9277992249;5330;AF;KE;KE-110;Nairobi;yes;HKJK;NBO;;http://www.kenyaairports.com/jkia/IndexJkia.php;https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport;Jkia Airport, Embakasi Airport, Nairobi International Airport;
