"source_id";"type";"reg_number";"category";"homebase";"max_pax";"yom";"operator"
"2";"AIRBUS Helicopter AS350 B2";"N135MC";"Helicopter single engine";"KTMB";"5.0";"2004.0";"45 North Flight"
"3";"beech Baron 58";"N9LT";"Turbo-prop";"KTVC";"5.0";"2001.0";"45 North Flight"
"4";"Cessna 185";"N306TC";"Turbo-prop";"KTVC";"3.0";"1976.0";"45 North Flight"
"5";"Citation Encore";"N560BM";"Light";"KTVC";"7.0";"2004.0";"45 North Flight"
"6";"King Air 200";"N444AD";"Turbo-prop";"KTVC";"9.0";"1980.0";"45 North Flight"
"7";"Pilatus PC-12/47E (NG)";"N29BZ";"Turbo-prop";"KAZO";"9.0";"2018.0";"45 North Flight"
"8";"TBM 850";"N258SP";"Turbo-prop";"KPTK";"5.0";"2010.0";"45 North Flight"
"9";"TBM 850";"N850WM";"Turbo-prop";"KTVC";"5.0";"2006.0";"45 North Flight"
"10";"Boeing 737-300 VIP";"G-TGPG";"Heavy";"EGSS";"62.0";"1989.0";"2Excel BroadSword"
"11";"King Air 200";"G-CIFE";"Turbo-prop";"EGCN";"7.0";"2003.0";"2Excel BroadSword"
"12";"Challenger 300";"N716WW";"Medium";"KBCT";"9.0";"2008.0";"A-OK Jets"
"13";"Challenger 604";"N604WH";"Heavy";"KFXE";"9.0";"1999.0";"A-OK Jets"
"14";"Gulfstream G-200";"N143CB";"Medium";"KFXE";"9.0";"2001.0";"A-OK Jets"
"15";"Gulfstream G-200";"N403SL";"Medium";"KFXE";"9.0";"2001.0";"A-OK Jets"
"16";"Gulfstream G-200";"N412AP";"Medium";"KFXE";"9.0";"2005.0";"A-OK Jets"
"17";"Gulfstream G-200";"N982MM";"Medium";"KFXE";"9.0";"2008.0";"A-OK Jets"
"18";"Hawker 800XP";"N168BF";"Medium";"KFXE";"8.0";"1999.0";"A-OK Jets"
"19";"Learjet60";"N60GF";"Medium";"KFXE";"7.0";"1999.0";"A-OK Jets"
"20";"Learjet60";"N743LG";"Medium";"KFXE";"7.0";"2001.0";"A-OK Jets"
"21";"Learjet60XR";"N104RJ";"Medium";"KBCT";"6.0";"2012.0";"A-OK Jets"
"22";"Citation CJ2";"D-ICBA";"Light";"EDDG";"6.0";"2005.0";"AaaBee Cee Aviation GMBH"
"23";"Challenger 350";"OO-WEG";"Medium";"EBBR";"9.0";"2018.0";"Abelag Aviation"
"24";"Citation CJ2+";"OO-KOR";"Light";"EBKT";"6.0";"2011.0";"Abelag Aviation"
"25";"Citation CJ3";"OO-PAR";"Light";"EBBR";"7.0";"2008.0";"Abelag Aviation"
"26";"Citation CJ4";"OO-CLA";"Light";"EBKT";"9.0";"2016.0";"Abelag Aviation"
"27";"Citation CJ4";"OO-SCT";"Light";"EBKT";"8.0";"2018.0";"Abelag Aviation"
"28";"Citation XLS";"OO-SKS";"Light";"EBBR";"8.0";"2007.0";"Abelag Aviation"
"29";"Falcon 7X";"OO-EJA";"Heavy";"EBBR";"6.0";"2011.0";"Abelag Aviation"
"30";"Falcon 900EX";"OO-GPE";"Heavy";"UUMO";"13.0";"2012.0";"Abelag Aviation"
"31";"Challenger 350";"AP-RDR";"Medium";"OPKC";"9.0";"2018.0";"AC Aviation Charter"
"32";"Challenger 605";"OE-INK";"Heavy";"LOWW";"12.0";"2010.0";"AC Aviation Charter"
"33";"Challenger 650";"OE-LUA";"Heavy";"LSZH";"8.0";"2019.0";"AC Aviation Charter"
"34";"Citation CJ4";"OE-GSX";"Light";"EDMO";"8.0";"2019.0";"AC Aviation Charter"
"35";"Citation CJ4";"OE-GXT";"Light";"EDMO";"8.0";"2015.0";"AC Aviation Charter"
"36";"Citation XLS";"OE-GZK";"Light";"LOWW";"8.0";"2007.0";"AC Aviation Charter"
"37";"Falcon 7X";"OE-ISX";"Heavy";"EDMO";"12.0";"2008.0";"AC Aviation Charter"
"38";"Gulfstream G-280";"OE-HKT";"Medium";"UUDD";"10.0";"2015.0";"AC Aviation Charter"
"39";"Learjet 75";"OE-GAG";"Light";"LHBP";"8.0";"2018.0";"AC Aviation Charter"
"40";"Gulfstream G-100";"N212T";"Medium";"KOPF";"8.0";"1999.0";"Accent Airways LLC"
"41";"Global 5000";"VT-SHG";"Heavy";"VECC";"13.0";"2013.0";"Accurate Commodeal Pvt Ltd"
"42";"Challenger 604";"N438E";"Heavy";"KSBP";"10.0";"2006.0";"ACI Jet"
